"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK2","02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)","296","n/e","n/e","140","202","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","68","816","283"
"BZN|DK2","02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)","279","n/e","n/e","141","203","35","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","737","337"
"BZN|DK2","02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)","280","n/e","n/e","134","192","33","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","774","384"
"BZN|DK2","02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)","280","n/e","n/e","129","184","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","794","433"
"BZN|DK2","02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)","285","n/e","n/e","117","180","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","878","461"
"BZN|DK2","02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)","291","n/e","n/e","69","184","31","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","902","455"
"BZN|DK2","02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)","296","n/e","n/e","69","185","30","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","66","891","461"
"BZN|DK2","03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)","300","n/e","n/e","70","168","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","880","448"
"BZN|DK2","03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)","301","n/e","n/e","70","166","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","65","900","447"
"BZN|DK2","03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)","301","n/e","n/e","69","166","22","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","67","898","445"
